LM308,Persuasion,Jane-Austen,A0154,Filip
LM310,Matilda,Roald-Dahl,A0155,Louie
LM312,Twillight,Stephenie-Meyer,A0156,Lyle
LM314,Emma,Jane-Austen,A0157,Mohammad
LM316,Heidi,Johanna-Spyri,A0158,Brody
LM318,Eclipse,Stephenie-Meyer,A0159,Cayden
LM320,It,Stephan-King,A0160,Cian
LM322,Ivanhoe,Walter,A0161,Marc
LM324,Frankenstein,Mary-Shelley,A0162,Danny
LM326,Carrie,Stephan-King,A0163,Shaun
LM328,Mockingjay,Suzanne-Collins,A0164,Austin
LM330,Kidnapped,Robert-Louis,A0165,Joel
LM332,Shogun,James-Clavell,A0166,Nicholas
LM334,Atonement,Ian-McEwan,A0167,Rio
LM336,Madeline,Ludwig,A0168,Rocco
LM338,Pretties,Scott-Westerfield,A0169,Dean
LM340,Cranford,Elizabeth-Gaskell,A0170,Jonathan
LM342,Beloved,Toni-Morrison,A0171,Carson
LM344,Roomy,David,A0172,Duncan
LM346,Coraline,Neil-Gaiman,A0173,Mitchell
LM348,Watchmen,Moore,A0174,Ruairidh
LM350,Beowulf,Burton-Raffel,A0175,Stephen
LM352,Diverdent,Veronica_Roth,A0176,Dominic
LM354,Dune,Frank-Herbert,A0177,Kerr
LM356,Neverwhere,Neil-Gaiman,A0178,Edward
LM358,Foundation,Issac-Asimov,A0179,Lloyd
LM360,Cosmos,Carl-Sagan,A0180,Mackenzie
LM362,Candide,Voltaire,A0181,Martin
LM364,Kim,Rudyard-Kipling,A0182,Ali
LM366,Possession,Byatt,A0183,Henry
LM368,Lolita,Vladimir-Nabokov,A0184,Kevin
LM370,Pygmalion,George-Bernard,A0185,Tom
LM372,Antigone,Sophocles,A0186,Alasdair
LM374,Specials,Scott-Westerfield,A0187,Billy
LM376,Tartuffe,Moliere,A0188,Freddie
LM378,Middlemarch,George-Elliot,A0189,Keir
LM380,Stardust,Neil-Gaiman,A0190,Levi
LM382,Fingersmith,Sarah-Waters,A0191,Junior
LM384,Anonymity,Davis,A0192,Allan
LM386,Dubliners,James-Joyce,A0193,Campbell
LM388,Faust 1,Johann-Wolfgang,A0194,Darren
LM390,Ulysses,James-Joyce,A0195,Drew
LM392,Brisingr,Chirstopher-Paolini,A0196,Oskar
LM394,Eldest,Chirstopher-Paolini,A0197,Arron
LM396,Shiver,Maggie,A0198,Ayden
LM398,Redwall,Brian-Jacques,A0199,Douglas
LM400,Blindness,Jose-Saramago,A0200,Frederick
LM402,Wonder,Palacio,A0201,Gary
LM404,Demons,Michael-S,A0202,Seth
LM406,Extras,Scott-Westerfield,A0203,Bruce
LM408,Dissolution,Sansom,A0204,Kaleb
LM410,Eragon,Christopher-Paolini,A0205,Maxwell
LM412,Hatchet,Gary-Paulsen,A0206,Richard
LM414,Medea,Euripides,A0207,Rowan
LM416,Enchanment,Milli,A0208,Toby
LM418,Bunnicula,Atoms,A0209,Xander
LM420,Fatherland,Robert-Harris,A0210,Alastair
LM422,Utopia,Thomas-More,A0211,Colin
LM424,Amerika,Jon-Stwewart,A0212,Finley
LM426,Metamorphoses,Franz-Kafka,A0213,Jaxon
LM428,Stargirl,Jerry-Spinelli,A0214,Keiran
LM430,Misery,Stephan-King,A0215,Magnus
LM432,Proof,Martin-Aigner,A0216,Mateusz
LM434,Disgrace,John-Maxwell,A0217,Mckenzie
LM436,Timeline,Michael-Crichton,A0218,Nathaniel
LM438,Matched,Ally-Condide,A0219,Felix
LM440,Stellaluna,Janell-Cannon,A0220,Grant
LM442,Outlander,Diana,A0221,Zander
LM444,Hunger,Roxane-Gay,A0222,Antoni
LM446,Mash,Richard-Hooker,A0223,Curtis
LM448,Insurgent,Veronica_Roth,A0224,Kacper
LM450,Exodus,Leon-Uris,A0225,Layton
LM452,Train,Charles,A0226,Niall
LM454,Maurice,Forster,A0227,Travis
LM456,Sovereign,Sansom,A0228,Tristan
LM458,Risk,Dan-Gardener,A0229,Adrian
LM460,Flipped,Van-Draanen,A0230,Flynn
LM462,Babbitt,Sinclair-Lewis,A0231,Hugh
LM464,Deception,Dan-Brown,A0232,Ian
LM466,Greenwitch,Susan-Cooper,A0233,Kaden
LM468,Scandal,Sarah-Ockler,A0234,Kieron
LM470,Fairest,Gail-Carson,A0235,Lochlan
LM472,Infidel,Ayaan,A0236,Morgan
LM474,Katherine,Anya-Seton,A0237,Nico
LM476,Nemesis,Brendan-Reichs,A0238,Ronan
LM478,Heartstone,Ellie-Kat,A0239,Caelan
LM480,Linger,Maggie,A0240,Christian
LM482,Straight,Dick-Francis,A0241,Jaden
LM484,Marked,Kristin-Cast,A0242,Justin
LM486,Page,Saluma,A0243,Robin
LM488,Protector,Jodi-Ellen,A0244,Eli
LM490,Nerve,Jeanne-Ryan,A0245,Frankie
LM492,Scoop,Evelyn-Waugh,A0246,Lauchlan
LM494,Shame,Salman-Rushdie,A0247,Lennox
LM496,Shibumi,Trevanian,A0248,Marco
LM498,Genie-Alogy,Eli,A0249,Mikey
LM500,Skinwalkers,Tony-Hillerman,A0250,Vincent
LM502,Airborn,Kenneth-Oppel,A0251,Arthur
LM504,Middleday,Sophia,A0252,Aston
LM506,Virals,Kathy-Reichs,A0253,Boyd
LM508,Walden,Henry-David,A0254,Casey
LM510,Cashelmara,Susan-Howatch,A0255,Dominik
LM512,Kindred,Octivia.E,A0256,Iain
LM514,Moo,Sandra,A0257,Jaiden
LM516,Sounder,William.H,A0258,Jan
LM518,Hyperion,Dan-Simmons,A0259,Keegan
LM520,Seduction,Robert-Greene,A0260,Mac
LM522,Jaws,Peter-Benchley,A0261,Marcel
LM524,Siddhartha,Hermann-Hesse,A0262,Ruari
LM526,Neuromancer,William-Gibson,A0263,Rudy
LM528,Postmortem,Patricia-Cornwell,A0264,Abdul
LM530,Leviathan,Thomas-Hobbes,A0265,Bradley
LM532,Bolt,Disney,A0266,Cohen
LM534,Unwind,Neal-Shusterman,A0267,Damian
LM536,Blankets,Craig-Thompson,A0268,Damien
LM538,Feathered,Laura-Kasischke,A0269,Dexter
LM540,We,Yevgeny-Zamyatin,A0270,Dillon
LM542,Loser,Jerry-Spinelli,A0271,Elliott
LM544,Hawaii,James.A,A0272,Hugo
LM546,Contact,Carl-Sagan,A0273,Leighton
LM548,Ficciones,Jorge-Luis,A0274,Marley
LM550,Steelheart,Brandon-Sanderson,A0275,Neil
LM552,Farthing,Susan-Hill,A0276,Ruben
LM554,Herzog,Saul-Bellow,A0277,Szymon
LM556,Serena,Ron-Rash,A0278,Zane
LM558,Strife,John-Glansworthy,A0279,Ahmed
LM560,Crash,Jerry-Spinelli,A0280,Ayaan
LM562,Pericles,Shakesphere,A0281,Conner
LM564,Elantris,Brandon-Sanderson,A0282,Hector
LM566,Magyk,Angie-Sage,A0283,Miller
LM568,Gone,Michael-Grant,A0284,Milo
LM570,Nostromo,Joseph-Conrad,A0285,Quinn
LM572,Firestarter,Stephan-King,A0286,Reilly
LM574,Sccaramouche,Rafel-Sabatini,A0287,Roman
LM576,Rules,Doja-Cat,A0288,Shane
LM578,Dhalgren,Samuel.R,A0289,Stewart
LM580,Schooled,Gordon-Korman,A0290,Brogan
LM582,Stormbreaker,Anthony-Horowitz,A0291,Donald
LM584,Stoner,John-Edward,A0292,Elijah
LM586,Electra,Sophocles,A0293,Hunter
LM588,She,Rider-Haggard,A0294,Ibrahim
LM590,History,Navaneet,A0295,Jasper
LM592,Villette,Charlotte-Bronte,A0296,Kane
LM594,Curtain,Agatha-Christie,A0297,Lukas
LM596,Amesterdam,Ian-McEwan,A0298,Michal
LM598,Frindle,Andrew-Clements,A0299,Nairn
LM600,Orlando,Virginia-Woolf,A0300,Ramsay
LM602,Legend,Marie-Lu,A0301,Ruairi
LM604,Frederica,Georgette-Heyer,A0302,Rudi
LM606,Regeneration,Pat-Barker,A0303,Simon
LM608,Insomnia,Stephan-King,A0304,Barry
LM610,Starters,Lissa-Price,A0305,Bobby
LM612,Ungifted,Gordon-Korman,A0306,Brian
LM614,Nemesis,Brendan-Reichs,A0307,Cruz
LM616,Pure,Julianna-Baggott,A0308,Eoin
LM618,Monster,Walter,A0309,Frazer
LM620,Impossible,Joyce-Smith,A0310,Jai
LM622,Ravished,Jayne,A0311,Jak
LM624,Perfect,Cecelia,A0312,Jenson
LM626,Doc,Shara,A0313,Leyton
LM628,Headlong,Michael-Frayn,A0314,Muhammed
LM630,Steppenwolf,Hermann-Hesse,A0315,Nicolas
LM632,Illuminate,Jim-Marrs,A0316,Patryk
LM634,Firewall,Sean-Rodman,A0317,Roan
LM636,Cell,Stephan-King,A0318,Saul
LM638,Dragonsdawn,Anne-McCaffrey,A0319,Tommy
LM640,Seraphina,Rachel-Hartman,A0320,Abdullah
LM642,Jinx,Sage-Blackwood,A0321,Aedan
LM644,Gone,Michael-Grant,A0322,Alfred
LM646,Glow,Vasudha_Rai,A0323,Arlo
LM648,Tangerane,Edward-Bloor,A0324,Bartosz
LM650,Revelation,Diana,A0325,Beau
LM652,Wit,Margaret-Edson,A0326,Cailean
LM654,Penmarric,Susan-Howatch,A0327,Clark
LM656,Squire,Tamora,A0328,Daniyal
LM658,Quentns,Maeve-Binchy,A0329,Eric
LM660,Inkdeath,Cornelia-Funke,A0330,Graeme
LM662,Tehanu,Ursula.K,A0331,Graham
LM664,Chirsty,Catherine-Marshall,A0332,Greg
LM666,Wunderkind,Nikolai-Grozni,A0333,Hamza
LM668,Hunted,Meagan-Spooner,A0334,Jaxson
LM670,Shirley,Charlotte-Bronte,A0335,Johnny
LM672,Venetia,Georgette-Heyer,A0336,Jonah
LM674,Complicity,Iain-Banks,A0337,Marshall
LM676,Dragonwyck,Anya-Seton,A0338,Micah
LM678,Surfacing,Margaret-Atwood,A0339,Rayan
LM680,Crash,Jerry-Spinelli,A0340,Reiss
LM682,Unless,Carol-Shields,A0341,Rohan
LM684,Truman,David-McCullough,A0342,Ryley
LM686,Crossed,Ally-Condide,A0343,Saif
LM688,Endgame,Stephen-McFeely,A0344,Victor
LM690,Thinner,Stephan-King,A0345,Ajay
LM692,Cut,Patricia-McCormick,A0346,Brendan
LM694,Jazz,Arnold,A0347,Brooklyn
LM696,Altered,Brian-Dettmer,A0348,Carter
LM698,Sphere,Michael-Crichton,A0349,Coby
LM700,Mephisto,Klaus-Mann,A0350,Cory
LM702,Beastly,Alex-Flinn,A0351,Dale
LM704,Voices,Frank-Tallis,A0352,Gavin
LM706,Dragonflight,Anne-McCaffrey,A0353,Ivan
LM708,Chess,Joe,A0354,Kelvin
LM710,Tides,Jonathan-White,A0355,Kenneth
LM712,Allegiant,Veronica_Roth,A0356,Kody
LM714,Inkheart,Cornelia-Funke,A0357,Mathew
LM716,Whit,Han-Kang,A0358,Mikolaj
LM718,Dawn,Octivia.E,A0359,Miles
LM720,Mort,Terry,A0360,Mohamed
LM722,Snow,Orhan-Pamuk,A0361,Myles
LM724,Hoot,Carl-Hiaasen,A0362,Olivier
LM726,Maskerade,Kit-Williams,A0363,Piotr
LM728,Antigone,Sophocles,A0364,Rayyan
LM730,Summertime,John-Maxwell,A0365,Shea
LM732,Simisola,Ruth-Rendell,A0366,Wiktor
LM734,Silverthorn,Raymond.E.,A0367,Brayden
LM736,Dragonsinger,Anne-McCaffrey,A0368,Caden
LM738,Slammerkin,Emma-Donoghue,A0369,Cain
LM740,Sundriver,Paul-othy,A0370,Conall
LM742,Mossflower,Brian-Jacques,A0371,Daryl
LM744,Cymbeline,Shakesphere,A0372,Devon
LM746,Lasher,Anne-Rice,A0373,Emmanuel
LM748,Fear,Osho,A0374,Fletcher
LM750,Dragonsong,Anne-McCaffrey,A0375,Franciszek
LM752,Castle,David-McCullough,A0376,Garry
LM754,Plague,Albert-Camus,A0377,Kalvin
LM756,Pinocchio,Carlo-Collodi,A0378,Oliwier
LM758,Autobiography,Franklin,A0379,Omar
LM760,Lies,T.M.Logan,A0380,Regan
LM762,Cinder,Marissa-Meyer,A0381,Syed
LM764,Blankout,Marc,A0382,Warren
LM766,Leviathan,Thomas-Hobbes,A0383,Xavier
LM768,Quarantine,Lex-Thomas,A0384,Aleksander
LM770,Whiteout,Ken-Follett,A0385,Asher
LM772,Milkweed,Jerry-Spinelli,A0386,Danyl
LM774,Memoirs,Arthur,A0387,Glen
LM776,Dust,Philip,A0388,Kris
LM778,Choke,Chuck,A0389,Kyran
LM780,Nevermore,Kelly-Creagh,A0390,Lawrie
LM782,Ubik,Philip,A0391,Lyall
LM784,Mountolive,Lawrence-Durrell,A0392,Maison
LM786,Arabella,Georgette-Heyer,A0393,Matteo
LM788,Quills,Doug-Wright,A0394,Murdo
LM790,Splendid,Khaled,A0395,Mylo
LM792,Sarah,Scott,A0396,Phoenix
LM794,Crescendo,Becca,A0397,Stanley
LM796,Imago,Octivia.E,A0398,Will
LM798,Shiloh,Phyllis,A0399,Zain
LM800,Quicksilver,Neal-Stephenson,A0400,Andy
LM802,Superfudge,Judy-Blume,A0401,Anton
LM804,Rubicon,Tom-Holland,A0402,Armaan
LM806,Centennial,James.A,A0403,Cairn
LM808,Valentine,Elizabeth-Wetmore,A0404,Conrad
LM810,Pigboy,Vicki-Grant,A0405,Dawid
LM812,Pride,Ibi-Zoboi,A0406,Derren
LM814,Echoes,Alice-Reeds,A0407,Francis
LM816,Undertones,Popovich,A0408,Gareth
LM818,Solo,Mary-Rand,A0409,Gordon
LM820,Mischief,Steve-Sternson,A0410,Haris
LM822,Cross,James-Patterson,A0411,Jaydon
LM824,Dolly,Pipa,A0412,Joey
LM826,Contact,Carl-Sagan,A0413,Leland
LM828,Dangerous,Milo,A0414,Leonardo
LM830,Desire,Muranki,A0415,Maksymilian
LM832,Graceling,Kristin-Cashore,A0416,Malcolm
LM834,Galore,Michael-Crummey,A0417,Nikodem
LM836,Conceit,Mary-Novik,A0418,Philip
LM838,Animalia,Graeme-Base,A0419,Ruaraidh
LM840,Mystique,Betty-Friedan,A0420,Russell
LM842,Utz,Bruce-Chatwin,A0421,Santiago
LM844,Demelza,Winston-Graham,A0422,Shae
LM846,Champion,Marie-Lu,A0423,Shayne
LM848,Reckless,Cornelia-Funke,A0424,Torin
LM850,Delirium,Lauren-Oliver,A0425,Vinnie
LM852,Perelandra,C.S.Lewis,A0426,Wojciech
LM854,1Q84,Haruki-Murakami,A0427,Aarron
LM856,Bloodline,Sidney-Sheldon,A0428,Ahmad
LM858,Lush,Natasha,A0429,Aidyn
LM860,Bled,Edouard-Bled,A0430,Albert
LM862,Prodigy,Marie-Lu,A0431,Alec
LM864,Naked,David-Sedaris,A0432,Amir
LM866,Severed,Iris-Murdoch,A0433,Antony
LM868,Connections,James-Burke,A0434,Archibald
LM870,Chains,Laurie-Halse,A0435,Aydin
LM872,Company,Max,A0436,Baillie
LM874,Surrender,Michael-Alan,A0437,Bryan
LM876,Divisadero,Ondaatje,A0438,Calan
LM878,Socks,Salman,A0439,Cillian
LM880,Lightning,Dean-Koontz,A0440,Clay
LM882,Dreamshake,Linda,A0441,Conlan
LM884,Feed,Seanan-McGuire,A0442,Connell
LM886,Mahabharatha,JaiShankar,A0443,Cullen
LM888,Ramayana,Kaviraj,A0444,Dara
LM890,Monster,Walter,A0445,Devin
LM892,Agamemnon,Aeschylus,A0446,Devlin
LM894,Labyrinth,Kate-Mosse,A0447,Donnie
LM896,Bifocal,Eric,A0448,Dorian
LM898,Lucky,Anna-Krunsinski,A0449,Dougal
LM900,Columbine,Dave-Cullen,A0450,Elias
LM902,Annihilation,Ambedkar,A0451,Eoghan
LM904,Fallout,Todd,A0452,Fionn
LM906,Killer,David-Grann,A0453,Fred
LM908,Nimona,Noella,A0454,Glenn
LM910,Savvy,Ingrid-Law,A0455,Igor
LM912,Shopgirl,Steve-Martin,A0456,Innis
LM914,Trifles,Susan-Glaspell,A0457,Ismail
LM916,Perfections,Mathewson,A0458,Jensen
LM918,Covet,Tracey,A0459,Jimmy
LM920,Asylum,Madeleine,A0460,Kobi
LM922,Unearthy,Cynthia,A0461,Korey
LM924,Raney,Clyde-Edgerton,A0462,Laurence
LM926,Wringer,Jerry-Spinelli,A0463,Lucca
LM928,Carmilla,Sheridan-Le,A0464,Luis
LM930,Marvels,Brian-Selznick,A0465,Musa
LM932,Rendezvous,Nelson-DeMille,A0466,Natan
LM934,Wicked,Gregory-Maguire,A0467,Olaf
LM936,Unbelieveable,Miller,A0468,Oran
LM938,Seinlanguage,Jerry-Seinfeld,A0469,Ray
LM940,Ghosts,Raina,A0470,Raymond
LM942,Autumn,Ali-Smith,A0471,Reegan
LM944,Goldfinger,Ian-Fleming,A0472,Remy
LM946,Midwives,Chris,A0473,Richie
LM948,Scarlet,Moses-Redding,A0474,Ritchie
LM950,Forever,Judy-Blume,A0475,Romeo
LM952,Aquamarine,Alice-Hoffman,A0476,Ronnie
LM954,Charleston,Thornton,A0477,Rylan
LM956,Odalisque,Fiona-McIntosh,A0478,Rylie
LM958,Infinity,Sherrilyn-Kenyon,A0479,Troy
LM960,Mattimeo,Brian-Jacques,A0480,Tymon
LM962,Witness,Karen-Hese,A0481,Yousef
LM964,Law,Tomy,A0482,Yusuf
LM966,Inferno,Dawn-Brown,A0483,Aaran
LM968,Bonfires,Ritter,A0484,Aden
LM970,Messenger,Lois-Lowry,A0485,Ally
LM972,Darkfever,Karen-Marie,A0486,Antonio
LM974,Flawless,Greg-Campbell,A0487,Bo
LM976,Cotillion,Georgette-Heyer,A0488,Cade
LM978,Tigana,Guy-Gavriel,A0489,Callen
LM980,Justine,Haley,A0490,Carlo
LM982,Ingo,Helen-Dunmore,A0491,Casper
LM984,Bone,Jeffery-Deaver,A0492,Cormac
LM986,Bossypants,Tina-Fey,A0493,Damon
LM988,Pegasus,John-Maxwell,A0494,Darragh
LM990,Birdsong,Sebastian,A0495,Darryl
LM992,Nana,Gopichand,A0496,Davis
LM994,Seizure,Robin-Cook,A0497,Derek
LM996,Affinity,Sarah-Waters,A0498,Eddie
LM998,Seetha,DayanadSagar,A0499,Emil
QL001,Eclipse,Stephenie-Meyer,A0500,Emilio
QL003,Vera,Joe,A0501,Enzo
QL005,Pandemonium,Milli,A0502,Ewen
QL007,Variant,Robinson-Wells,A0503,Frank
QL009,Croak,Gina,A0504,Guy
QL011,Parzival,Wolfram,A0505,Hassan
QL013,Corduroy,Don-Freeman,A0506,Isa
QL015,Aadi,Eshwar-Verma,A0507,Julian
QL017,Boss,Paisely,A0508,Kade
QL019,Gaban,Rahul,A0509,Kaidyn
QL021,Sholay,Sippy,A0510,Kamil
QL023,Deewana,Hemamalini,A0511,Karol
QL025,Naagin,Yash-Chopra,A0512,Kenzi
QL027,Khubsurath,Rekha,A0513,Kole
QL029,Gandhiji,John-Maxwell,A0514,Kristopher
QL031,Yaatra,Aarathi,A0515,Lincoln
QL033,Childhood,Karen,A0516,Lochlann
QL035,Prema,Umachand,A0517,Luka
*L037,Hombisilu,Usha,A0518,Maciej
QL039,Database,Kiran,A0519,Malachy
QL041,Networks,Vandana,A0520,Markus
QL043,Operating System,Kiran,A0521,Maximillian
QL045,Crypytography,Harshaprabhu,A0522,Muir
QL047,Cryptoanalysis,Harshaprabhu,A0523,Nikolas
QL049,Devatha,Meghana,A0524,Oisin
QL051,Dilwala,Rohith,A0525,Otis
QL053,Dilwale,Rohith,A0526,Pawel
QL055,Jodi,Kajol,A0527,Preston
QL057,Posedion,Robinson-Wells,A0528,Ralph
QL059,Yaaru?,Anuprabhakar,A0529,Rayhan
QL061,Neharu,John-Maxwell,A0530,Reagan
QL063,Manasu,Eshwar-Verma,A0531,Rehan
QL065,Mind,Sachidananda,A0532,Rhuari
QL067,Light,Aaron,A0533,Rhyan
QL069,City_of_lights,Chandu,A0534,Roddy
QL071,Bombay,Abdul,A0535,Rylee
QL073,Hanuman,Anjali,A0536,Sami
QL075,Raang,Salman,A0537,Sandy
QL077,Rangeela,Aamir,A0538,Scot
QL079,Holi,Gouri,A0539,Spencer
QL081,Mystry,Williams,A0540,Stanislaw
QL083,Mansion,Rob,A0541,Teejay
QL085,Harry_Potter,Rowling,A0542,Theodore
QL087,Jerusleum,Eli,A0543,Tomas
QL089,War,Aakarsh,A0544,Tomasz
QL091,Karna,Ramanandh,A0545,Tony
